"","Datum","Zeit","X","Y"
"320","25/08/2021",NA,377712.285280927,5421539.28409402
"321","25/08/2021",NA,386408.992470685,5420393.02093654
"322","27/08/2021",NA,373748.970479087,5436302.73003274
"323","27/08/2021",NA,371305.869670762,5437966.08479727
"324","28/08/2021","07:30:00",393904.419061642,5418054.02986522
"325","28/08/2021","07:30:00",393904.419061642,5418054.02986522
"326","28/08/2021","07:30:00",393904.419061642,5418054.02986522
"327","29/08/2021","20:10:00",385626.761700183,5419805.08528315
"328","29/08/2021",NA,378913.505513053,5423809.5106452
"329","30/08/2021",NA,383016.212826358,5422555.10649709
"330","31/08/2021",NA,377112.979258938,5432029.84050775
"331","01/09/2021","00:25:00",385273.364241037,5421290.38877345
"332","01/09/2021","00:25:00",385273.364241037,5421290.38877345
"333","01/09/2021","00:25:00",385273.364241037,5421290.38877345
"334","01/09/2021","00:25:00",385273.364241037,5421290.38877345
"335","01/09/2021","23:30:00",394081.685746961,5415540.23576706
"336","02/09/2021","22:00:00",385727.31936897,5419919.78543694
"337","02/09/2021",NA,371204.916664087,5437991.78904201
"338","02/09/2021",NA,371204.916664087,5437991.78904201
"339","04/09/2021","22:15:00",385626.761700183,5419805.08528315
"340","05/09/2021","20:10:00",385350.514784616,5419629.1695868
"341","05/09/2021","20:10:00",385350.514784616,5419629.1695868
"342","06/09/2021",NA,377712.285280927,5421539.28409402
"343","06/09/2021",NA,376001.591957321,5433380.25993013
"344","07/09/2021","21:30:00",395006.806865576,5414975.19653857
"345","07/09/2021",NA,378676.261816643,5423375.39939118
"346","08/09/2021",NA,380591.378119013,5426875.97576034
"347","09/09/2021","20:00:00",384532.989936478,5419117.28221595
"348","09/09/2021","20:00:00",384532.989936478,5419117.28221595
"349","10/09/2021","00:26:00",388096.301396004,5419213.44720391
"350","10/09/2021","00:26:00",388096.301396004,5419213.44720391
"351","10/09/2021","00:26:00",388096.301396004,5419213.44720391
"352","10/09/2021","00:26:00",388096.301396004,5419213.44720391
"353","10/09/2021","00:26:00",388096.301396004,5419213.44720391
"354","10/09/2021","00:26:00",388096.301396004,5419213.44720391
"355","10/09/2021","00:26:00",388096.301396004,5419213.44720391
"356","10/09/2021","00:26:00",388096.301396004,5419213.44720391
"357","10/09/2021","21:15:00",390836.377781546,5415720.16227259
"358","12/09/2021","19:50:00",383544.986511868,5419679.32280701
"359","13/09/2021",NA,377833.009956418,5419327.98222592
"360","13/09/2021",NA,383016.212826358,5422555.10649709
"361","14/09/2021","19:45:00",384532.989936478,5419117.28221595
"362","16/09/2021","00:38:00",385752.03012797,5421230.49763606
"363","16/09/2021","00:38:00",385752.03012797,5421230.49763606
"364","17/09/2021","00:29:00",385273.364241037,5421290.38877345
"365","17/09/2021","01:45:00",394442.61569688,5417056.25006148
"366","17/09/2021","01:45:00",394442.61569688,5417056.25006148
"367","17/09/2021","21:20:00",384532.989936478,5419117.28221595
"368","20/09/2021","18:40:00",384532.989936478,5419117.28221595
"369","20/09/2021","21:00:00",384532.989936478,5419117.28221595
"370","20/09/2021","21:00:00",384532.989936478,5419117.28221595
"371","23/09/2021",NA,384600.236052678,5421441.09190618
"372","23/09/2021",NA,377309.121781234,5431309.28240233
"373","24/09/2021","19:20:00",384753.169142908,5419485.48177626
"374","24/09/2021","19:30:00",386959.692058398,5418896.1228212
"375","24/09/2021","21:30:00",384753.169142908,5419485.48177626
"376","26/09/2021","21:30:00",386594.249310265,5419666.97059723
"377","27/09/2021",NA,381718.120978342,5429429.70376788
"378","28/09/2021",NA,384600.236052678,5421441.09190618
"379","28/09/2021",NA,384600.236052678,5421441.09190618
"380","28/09/2021",NA,377112.979258938,5432029.84050775
"381","29/09/2021","19:30:00",382323.618325578,5419766.17002814
"382","01/10/2021","00:28:00",381224.418588073,5420631.36109574
"383","01/10/2021","00:28:00",381224.418588073,5420631.36109574
